Staphylococcus test positive,,,,
Abortion spontaneous,,,,
Muscle fatigue,muscle_weakness,fatigue,muscle_wasting,
Central obesity,obesity,,,
Aortic arteriosclerosis,,,,
Rheumatoid nodule,,,,
Oesophageal intramural haematoma,,,,
Retinal vascular occlusion,,,,
Bladder transitional cell carcinoma,,,,
Rectal fissure,,,,
Imprisonment,,,,
Transaminases increased,,,,
Clubbing,,,,
pH body fluid decreased,,,,
Mucoepidermoid carcinoma of salivary gland,,,,
Zika virus infection,,,,
Gestational oedema,,,,
Haemostasis,,,,
Mediastinal mass,,,,
Mean platelet volume abnormal,,,,
Amputee,,,,
Cystic fibrosis related diabetes,,,,
Biliary catheter insertion,,,,
Alveolar bone resorption,,,,
Mycotic allergy,,,,
Blood pressure immeasurable,,,,
Cephalo-pelvic disproportion,,,,
Renal neoplasm,,,,
Phrenic nerve paralysis,,,,
Foreign body in mouth,,,,
Hypercalcaemia,,,,
Joint effusion,,,,
Vitamin B12 decreased,,,,
Vascular calcification,,,,
Encephalopathy neonatal,,,,
Cerebellar ischaemia,,,,
Perineal infection,,,,
Removal of foreign body from eye,,,,
Throat clearing,throat_irritation,,,
Post laminectomy syndrome,,,,
Product administered at inappropriate site,,,,
COVID-19 pneumonia,,,,
Platypnoea,,,,
CSF volume increased,,,,
B-cell lymphoma stage II,,,,
Metastases to pancreas,,,,
Spinal osteoarthritis,,,,
Treatment failure,,,,
Muscle twitching,,,,
Pancreatic neoplasm,,,,
Oral pruritus,,,,
Dystonic tremor,,,,
Thyroxine abnormal,,,,
Incorrect route of product administration,,,,
Lumbar puncture,,,,
Urge incontinence,,,,
Hypertrophic anal papilla,,,,
Mental fatigue,,,,
Eosinopenia,,,,
Face crushing,,,,
Erythema migrans,,,,
Odontogenic cyst,,,,
Palmar-plantar erythrodysaesthesia syndrome,,,,
Haematoma infection,,,,
Haematuria,,,,
Protrusion tongue,,,,
Prerenal failure,,,,
Blepharospasm,,,,
Dermal absorption impaired,,,,
Intra-abdominal haematoma,,,,
Gastrointestinal hypermotility,,,,
Endocarditis bacterial,,,,
Paranasal sinus injury,,,,
Peau d'orange,,,,
Alpha 1 foetoprotein abnormal,,,,
Extramedullary haemopoiesis,,,,
Rash papular,,,,
Limb hypoplasia congenital,,,,
Therapeutic agent-diagnostic test interaction,,,,
Spinal subdural haemorrhage,,,,
Forced vital capacity abnormal,,,,
Malacoplakia,,,,
Cutaneous T-cell lymphoma refractory,,,,
Brain natriuretic peptide abnormal,,,,
Urinary tract pain,,,,
Eustachian tube obstruction,,,,
Exposure to unspecified agent,,,,
Antinuclear antibody positive,,,,
Oral administration complication,,,,
Oesophageal spasm,,,,
Enteral nutrition,,,,
Myeloblast percentage increased,,,,
Postpartum disorder,,,,
Paroxysmal nocturnal haemoglobinuria,,,,
Anti factor VIII antibody increased,,,,
Body height below normal,,,,
5-hydroxyindolacetic acid in urine increased,,,,
Pneumocystis jirovecii infection,,,,
Conversion disorder,,,,
Spinal claudication,,,,
Amylase abnormal,,,,
Mean cell haemoglobin concentration,,,,
Chest wall abscess,,,,
Hypoaesthesia oral,,,,
Hepatic arteriovenous malformation,,,,
Acute cardiac event,,,,
Transient psychosis,,,,
Viral pharyngitis,,,,
Serum procollagen type I N-terminal propeptide increased,,,,
Transdifferentiation of neoplasm,,,,
Reproductive complication associated with device,,,,
Diabetic retinopathy,,,,
Conductive deafness,,,,
Milk-alkali syndrome,,,,
Product deposit,,,,
Oral disorder,,,,
Injection site hypersensitivity,,,,
Jugular vein embolism,,,,
Product colour issue,,,,
Product use in unapproved therapeutic environment,,,,
Colon cancer stage III,,,,
Ductal adenocarcinoma of pancreas,,,,
Flatulence,passage_of_gases,,,
Penile blister,,,,
Epstein-Barr virus antibody positive,,,,
Medical device site ulcer,,,,
Neuritis cranial,,,,
Keratopathy,,,,
Occupational exposure to dust,,,,
Tricuspid valve repair,,,,
Mesangioproliferative glomerulonephritis,,,,
Patient dissatisfaction with device,,,,
Haemophilia,,,,
Arachnoiditis,,,,
Carcinoid tumour of the liver,,,,
Eyelid retraction,,,,
Clavicle fracture,,,,
Oestradiol increased,,,,
Phagocytosis,,,,
Glomerulonephritis membranous,,,,
Cervical vertebral fracture,,,,
Corynebacterium test positive,,,,
Ecchymosis,,,,
Vascular stent thrombosis,,,,
Scapula fracture,,,,
Urine alcohol test positive,,,,
Hepatic cancer,,,,
Bronchopleural fistula,,,,
Stoma site discomfort,,,,
Malignant neoplasm of pleura,,,,
Muscle spasms,,,,
Injection site erythema,,,,
Salpingitis,,,,
Transurethral prostatectomy,,,,
Shoulder deformity,,,,
Injection site abscess sterile,,,,
Skin bacterial infection,,,,
Merycism,,,,
Multiple congenital abnormalities,,,,
Left ventricular enlargement,,,,
Spasmodic dysphonia,,,,
Post procedural drainage,,,,
Microsporum infection,,,,
Implant site oedema,,,,
Cytogenetic analysis abnormal,,,,
Central nervous system lesion,,,,
Oculomucocutaneous syndrome,,,,
Lip infection,,,,
Encephalitis,,,,
Breakthrough pain,,,,
Keratosis pilaris,,,,
Maculopathy,,,,
Immune-mediated hyperthyroidism,,,,
Injection site mass,,,,
Product odour abnormal,,,,
Device dependence,,,,
Fat tissue increased,,,,
Hair follicle tumour benign,,,,
Saliva discolouration,,,,
Hypotonic urinary bladder,,,,
Defect conduction intraventricular,,,,
Takayasu's arteritis,,,,
Malignant polyp,,,,
Fluid intake restriction,,,,
Surgical failure,,,,
Shift work disorder,,,,
Lymphadenopathy mediastinal,,,,
Respiratory syncytial virus infection,,,,
Bladder diverticulum,,,,
Intravascular haemolysis,,,,
Medical device site mass,,,,
Urine bilirubin increased,,,,
Pseudarthrosis,,,,
Meibomian gland dysfunction,,,,
Cystitis noninfective,,,,
Chorioretinopathy,,,,
Ciliary muscle spasm,,,,
Pleural thickening,,,,
Umbilical cord abnormality,,,,
Marginal zone lymphoma,,,,
Retroperitoneal infection,,,,
Functional endoscopic sinus surgery,,,,
Labelled drug-drug interaction medication error,,,,
Ear lobe infection,,,,
Large intestine perforation,,,,
Facial operation,,,,
Infusion site bruising,,,,
Intervertebral discitis,,,,
Periarticular disorder,,,,
Histoplasmosis disseminated,,,,
Compulsive cheek biting,,,,
Optic disc vascular disorder,,,,
Crystal urine,,,,
Pertussis,,,,
Salmonellosis,,,,
Arthroscopy,,,,
Dural arteriovenous fistula,,,,
Victim of homicide,,,,
Liver function test decreased,,,,
Huerthle cell carcinoma,,,,
Gastric mucosal hypertrophy,,,,
Hyperammonaemia,,,,
Tachycardia paroxysmal,,,,
Erectile dysfunction,,,,
Blood alcohol increased,,,,
Burns first degree,,,,
Intelligence test abnormal,,,,
Urethral stenosis,,,,
Congenital jaw malformation,,,,
Magnetic resonance imaging whole body,,,,
Hepatic steatosis,,,,
Pulmonary cavitation,,,,
Walking aid user,,,,
Body fat disorder,,,,
Blebitis,,,,
Mean cell haemoglobin concentration decreased,,,,
Painful ejaculation,,,,
Vaginal odour,,,,
Alcohol problem,history_of_alcohol_consumption,,,
Congenital cystic lung,,,,
Tracheal disorder,,,,
Blood stem cell transplant failure,,,,
Cardiac discomfort,,,,
Rotator cuff syndrome,,,,
Murray Valley encephalitis,,,,
Intestinal metaplasia,,,,
Single umbilical artery,,,,
Nasal valve collapse,,,,
Pituitary tumour benign,,,,
Pupillary reflex impaired,,,,
Cerebellar haematoma,,,,
Chronic left ventricular failure,,,,
Dysmetria,,,,
Administration site discolouration,,,,
Lung cyst,,,,
Candida nappy rash,,,,
Genitalia external ambiguous,,,,
Tooth deposit,,,,
Blood thyroid stimulating hormone increased,,,,
Bradycardia neonatal,,,,
Diastolic hypertension,,,,
Red blood cell elliptocytes present,,,,
Pyroglutamate increased,,,,
Abdominal neoplasm,,,,
Pericardial drainage,,,,
Increased appetite,Increased appetite,,,
Living in residential institution,,,,
Vertebral artery hypoplasia,,,,
Foetal growth abnormality,,,,
Glaucoma,,,,
Soft tissue mass,,,,
"Hallucination, olfactory",,,,
Heart sounds abnormal,,,,
Aortic valve repair,,,,
Peripheral nerve decompression,,,,
Product distribution issue,,,,
Burkholderia pseudomallei infection,,,,
Hydrosalpinx,,,,
Helicobacter gastritis,,,,
Meningitis bacterial,,,,
Pneumonia mycoplasmal,,,,
Nocturnal dyspnoea,,,,
Felty's syndrome,,,,
Vasculitis necrotising,,,,
Mean cell haemoglobin decreased,,,,
Acute myelomonocytic leukaemia,,,,
Hereditary haemorrhagic telangiectasia,,,,
Tongue fungal infection,,,,
Madarosis,,,,
Lid sulcus deepened,,,,
Selective eating disorder,,,,
Device related sepsis,,,,
Intussusception,,,,
Skin texture abnormal,,,,
Squamous cell carcinoma of the cervix,,,,
Cancer in remission,,,,
Viral infection,,,,
Toxic erythema of chemotherapy,,,,
Infusion site injury,,,,
Visual pathway disorder,,,,
Amniorrhoea,,,,
Chronic leukaemia,,,,
Device occlusion,,,,
Left atrial hypertrophy,,,,
Arterial aneurysm repair,,,,
Pulmonary arterial pressure decreased,,,,
Antineutrophil cytoplasmic antibody,,,,
B-cell lymphoma stage III,,,,
Gestational diabetes,,,,
Free androgen index decreased,,,,
Pain,,,,
Ischaemic skin ulcer,,,,
Dental operation,,,,
Enterocolitis viral,,,,
Cramp-fasciculation syndrome,,,,
B-lymphocyte count increased,,,,
Neuromuscular toxicity,,,,
Visual acuity reduced transiently,,,,
Blood alcohol abnormal,,,,
Anticoagulation drug level increased,,,,
Urine potassium decreased,,,,
Bone marrow disorder,,,,
Umbilical erythema,,,,
Iris transillumination defect,,,,
Peripheral sensorimotor neuropathy,,,,
Vascular fragility,,,,
Creutzfeldt-Jakob disease,,,,
Uterine hypotonus,,,,
Metastases to the mediastinum,,,,
Complement factor C3 increased,,,,
Cervix haemorrhage uterine,,,,
Eye movement disorder,,,,
Cystic lung disease,,,,
Dissociation,,,,
Metastases to spine,,,,
Pulmonary eosinophilia,,,,
Creatinine urine decreased,,,,
Acetonaemic vomiting,,,,
Renal cyst ruptured,,,,
Vascular pseudoaneurysm thrombosis,,,,
Head titubation,,,,
Epstein-Barr virus antibody negative,,,,
Amniocentesis abnormal,,,,
Dose calculation error,,,,
Atherectomy,,,,
Negativism,,,,
Right ventricular failure,,,,
Gamma-glutamyltransferase increased,,,,
Blindness cortical,,,,
Nasal cavity mass,,,,
Hypophysitis,,,,
Tic,,,,
Diarrhoea haemorrhagic,,,,
Tri-iodothyronine free decreased,,,,
Male orgasmic disorder,,,,
Tumefactive multiple sclerosis,,,,
Haemophilus bacteraemia,,,,
Immature granulocyte percentage increased,,,,
Eye allergy,,,,
Neurotic disorder of childhood,,,,
Asocial behaviour,,,,
Glomerulonephritis minimal lesion,,,,
Trisomy 13,,,,
Product use complaint,,,,
Pulmonary function test,,,,
Drug level above therapeutic,,,,
Drug effect faster than expected,,,,
Product design issue,,,,
Tachyphrenia,,,,
Enophthalmos,,,,
Skin culture positive,,,,
Bowen's disease,,,,
Hypotelorism of orbit,,,,
Emergency care,,,,
Hip deformity,,,,
Splenomegaly,,,,
Application site hypoaesthesia,,,,
Venous operation,,,,
Lymphocyte morphology abnormal,,,,
Carboxyhaemoglobin increased,,,,
Petit mal epilepsy,,,,
Aerophagia,,,,
Pelvic sepsis,,,,
Rash maculo-papular,,,,
Iodine allergy,,,,
Anterior chamber cell,,,,
Influenza virus test positive,,,,
Cardiac fibrillation,,,,
Proctitis,,,,
Vaginal prolapse,,,,
Anisomastia,,,,
Procoagulant therapy,,,,
Dysplasia,,,,
Neonatal epileptic seizure,,,,
Inflammatory marker test,,,,
Pneumonia necrotising,,,,
Peptic ulcer,,,,
Adnexa uteri pain,,,,
Impacted fracture,,,,
Vena cava filter removal,,,,
Subcutaneous haematoma,,,,
Blood ketone body increased,,,,
Glomerulonephropathy,,,,
Vth nerve injury,,,,
Device interaction,,,,
Application site nodule,,,,
Malignant neoplasm of thymus,,,,
Impaired driving ability,,,,
Injection site scab,,,,
Proctectomy,,,,
Perinephric oedema,,,,
Laboratory test interference,,,,
Spindle cell sarcoma,,,,
Intentional medical device removal by patient,,,,
Tumour necrosis,,,,
Drug eruption,,,,
Amygdalotomy,,,,
Application site hypersensitivity,,,,
Brain contusion,,,,
Foot amputation,,,,
Primary progressive multiple sclerosis,,,,
Altered visual depth perception,,,,
Coronary artery insufficiency,,,,
Tenderness,,,,
Ventricular hypoplasia,,,,
Lacrimation disorder,,,,
Nephroangiosclerosis,,,,
Coronavirus test positive,,,,
Protein total abnormal,,,,
Temperature perception test abnormal,,,,
Cystitis interstitial,,,,
Application site urticaria,,,,
Colon cancer stage I,,,,
Atrioventricular node dysfunction,,,,
Keloid scar,,,,
Paranasal sinus hyposecretion,,,,
Ceruloplasmin increased,,,,
Gastric ulcer,,,,
Diet refusal,,,,
Primary headache associated with sexual activity,headache,,,
Arterial occlusive disease,,,,
Spinal cord infection,,,,
Medical device change,,,,
Epidermal naevus,,,,
Punctate keratitis,,,,
Pleomorphic adenoma,,,,
Rehabilitation therapy,,,,
Non-Hodgkin's lymphoma,,,,
Non-cardiogenic pulmonary oedema,,,,
Benign neoplasm of thyroid gland,,,,
Nasal cavity packing,,,,
Hepatic adenoma,,,,
Harlequin syndrome,,,,
Infusion site hypoaesthesia,,,,
Withdrawal catatonia,,,,
Computerised tomogram abdomen abnormal,,,,
Lymphoplasmacytoid lymphoma/immunocytoma,,,,
Genital neoplasm malignant female,,,,
Gastric fistula,,,,
Corneal dystrophy,,,,
Immune-mediated dermatitis,,,,
Metastases to rectum,,,,
Glutamate dehydrogenase increased,,,,
Treatment noncompliance,,,,
Soft tissue infection,,,,
Gastrointestinal hypomotility,,,,
Aortic aneurysm,,,,
Acute flaccid myelitis,,,,
Blood parathyroid hormone increased,,,,
Peripheral artery occlusion,,,,
Body mass index abnormal,,,,
Corneal infiltrates,,,,
Laparoscopic surgery,,,,
Foveal reflex abnormal,,,,
Implant site infection,,,,
Facial paresis,,,,
Gastrointestinal necrosis,,,,
Pseudomonas bronchitis,,,,
Peripheral artery thrombosis,,,,
Gallbladder cholesterolosis,,,,
Device safety feature issue,,,,
Brucellosis,,,,
Neuralgia,,,,
Skin graft infection,,,,
Delusion,,,,
Cloacal exstrophy,,,,
Blood testosterone increased,,,,
Lung disorder,,,,
Nasal cavity cancer,,,,
Central auditory processing disorder,,,,
Sleep disorder due to a general medical condition,,,,
Sinoatrial block,,,,
Influenza immunisation,,,,
Product reconstitution quality issue,,,,
Infusion site dermatitis,,,,
Infusion site ulcer,,,,
Endometritis,,,,
Congenital eye disorder,,,,
Urinary tract infection fungal,,,,
Stomatococcal infection,,,,
Thrombasthenia,,,,
Pericardial cyst,,,,
Allergy to surgical sutures,,,,
Neuromyopathy,,,,
Pelvic organ injury,,,,
Pharyngo-oesophageal diverticulum,,,,
Lymphangiectasia,,,,
Cyst removal,,,,
Scleroderma-like reaction,,,,
Legal problem,,,,
Non-cirrhotic portal hypertension,,,,
Complicated appendicitis,,,,
Prostatic calcification,,,,
Hyaluronic acid increased,,,,
Genetic polymorphism,,,,
Bronchial obstruction,,,,
Acute disseminated encephalomyelitis,,,,
Abnormal clotting factor,,,,
Hypophonesis,,,,
Post procedural fever,high_fever,,,
Mantle cell lymphoma,,,,
Haemorrhoid operation,,,,
Eyelid function disorder,,,,
Musculoskeletal stiffness,movement_stiffness,stiff_neck,,
Blood oestrogen increased,,,,
Acute haemorrhagic oedema of infancy,,,,
Skeletal injury,,,,
Bacterial abdominal infection,,,,
Alveolar proteinosis,,,,
Ulnar nerve palsy,,,,
Tumour necrosis factor receptor-associated periodic syndrome,,,,
Genital discomfort,,,,
Medical device battery replacement,,,,
Arthrectomy,,,,
Micturition urgency,,,,
Biopsy,,,,
Velopharyngeal incompetence,,,,
Biliary cancer metastatic,,,,
Myocardial oedema,,,,
Neuromuscular pain,,,,
Enlarged uvula,,,,
Oral candidiasis,,,,
Anaesthetic complication neurological,,,,
Mastoid effusion,,,,
"Astrocytoma, low grade",,,,
Appendix disorder,,,,
Pulmonary mucormycosis,,,,
Breast cancer stage II,,,,
Oral purpura,,,,
Artificial urinary sphincter implant,,,,
Hydroureter,,,,
Anion gap abnormal,,,,
Alcohol use,history_of_alcohol_consumption,,,
Solid organ transplant rejection,,,,
Torulopsis infection,,,,
Premature ejaculation,,,,
Post procedural hypothyroidism,,,,
Renal artery stenosis,,,,
Neonatal pneumothorax,,,,
Subclavian artery stenosis,,,,
Barotrauma,,,,
Lip swelling,,,,
Burnout syndrome,,,,
Genital pain,,,,
Mitral valve stenosis,,,,
Clostridial sepsis,,,,
Salpingo-oophorectomy unilateral,,,,
Syndactyly,,,,
Hyperinsulinism,,,,
Viral cardiomyopathy,,,,
Application site swelling,,,,
Erythema annulare,,,,
Tardive dyskinesia,,,,
Vulval abscess,,,,
Tooth dislocation,,,,
Echocardiogram,,,,
Fibroadenoma of breast,,,,
Keratomileusis,,,,
Ventricular tachycardia,,,,
Quadriplegia,,,,
Carbohydrate antigen 19-9 increased,,,,
Ear deformity acquired,,,,
Animal attack,,,,
Portal tract inflammation,,,,
Increased insulin requirement,,,,
Noninfective oophoritis,,,,
Oesophageal stenosis,,,,
Photophobia,,,,
Erythrodermic atopic dermatitis,,,,
Dermatophytosis,,,,
Breath odour,,,,
Product monitoring error,,,,
Brain natriuretic peptide,,,,
Metastatic bronchial carcinoma,,,,
Staphylococcal abscess,,,,
Aspartate aminotransferase abnormal,,,,
Injection site rash,,,,
Cerebellar atrophy,,,,
Grey matter heterotopia,blurred_and_distorted_vision,,,
Fractional exhaled nitric oxide abnormal,,,,
Meconium stain,,,,
Necrotising fasciitis streptococcal,,,,
Dysmenorrhoea,,,,
Pulmonary amyloidosis,,,,
Gastric occult blood positive,,,,
Tetany,,,,
Gallbladder operation,,,,
Pulmonary toxicity,,,,
Haemorrhage subcutaneous,,,,
Ligament rupture,,,,
Joint laxity,,,,
Pharyngeal lesion,,,,
Hepatic cancer stage IV,,,,
Haemorrhoids thrombosed,,,,
Septic pulmonary embolism,,,,
Product used for unknown indication,,,,
Eructation,,,,
Vitritis,,,,
Metastasis,,,,
Mixed connective tissue disease,,,,
Ovarian cancer,,,,
Facial spasm,,,,
Retinal infarction,,,,
Incision site abscess,,,,
Renal artery restenosis,,,,
Tachyphylaxis,,,,
Rhabdoid tumour,,,,
Congenital hydrocephalus,,,,
Osteodystrophy,,,,
Inflammatory pain,,,,
Phalangeal hypoplasia,,,,
Punctate basophilia,,,,
Pneumonia measles,,,,
Avulsion fracture,,,,
Incision site pruritus,,,,
Mycobacterium ulcerans infection,,,,
General physical condition abnormal,,,,
Kleptomania,,,,
Respiratory disorder neonatal,,,,
Linear IgA disease,,,,
Hypercapnia,,,,
Gouty arthritis,,,,
Skin plaque,,,,
Proteus infection,,,,
Femoral neck fracture,,,,
Human epidermal growth factor receptor negative,,,,
Lip disorder,,,,
Adenoviral hepatitis,,,,
Abdominal wall abscess,,,,
Periorbital haemorrhage,,,,
Nosocomial infection,,,,
Cytomegalovirus mucocutaneous ulcer,,,,
Salivary gland mucocoele,,,,
Soft tissue injury,,,,
Malabsorption from injection site,,,,
Pulmonary radiation injury,,,,
Primary hyperthyroidism,,,,
Venous oxygen saturation increased,,,,
Herpes pharyngitis,,,,
Aortic valve sclerosis,,,,
Lipoedema,,,,
Pelvic bone injury,,,,
Wrong patient received product,,,,
Hypofibrinogenaemia,,,,
Mesenteric haemorrhage,,,,
Immunisation reaction,,,,
Shoulder operation,,,,
Crepitations,,,,
Mitral valve incompetence,,,,
Removal of foreign body from throat,,,,
Wrist fracture,,,,
Vertebral artery occlusion,,,,
Pulmonary artery wall hypertrophy,,,,
Cranial nerve palsies multiple,,,,
Alpha-1 antitrypsin deficiency,,,,
Cavernous sinus thrombosis,,,,
Blood immunoglobulin G increased,,,,
Acute chest syndrome,chest_pain,,,
Morton's neuralgia,,,,
Renal stone removal,,,,
Red blood cell sedimentation rate increased,,,,
Cerebrovascular disorder,,,,
Dilatation ventricular,,,,
Glucocorticoid deficiency,,,,
Retinal pigment epithelial tear,,,,
Infective aortitis,,,,
Electrocardiogram ST-T segment abnormal,,,,
Cerebral vasodilatation,,,,
Carotid artery disease,,,,
Hyponatraemic coma,coma,,,
Product administration interrupted,,,,
Blood creatinine,,,,
Bipolar disorder,,,,
Heel fat pad syndrome,,,,
Gastric ileus,,,,
Burning feet syndrome,,,,
Protein C deficiency,,,,
Infantile spasms,,,,
Neurological examination abnormal,,,,
Trichophytosis,,,,
Cerebellar microhaemorrhage,,,,
Bacterial diarrhoea,diarrhoea,,,
Retinal artery occlusion,,,,
Mitral valve thickening,,,,
Macroprolactinaemia,,,,
Meningitis herpes,,,,
Desmoplastic melanoma,,,,
Nasal flaring,,,,
Haemorrhagic stroke,,,,
Suspected transmission of an infectious agent via product,,,,
Catheter site scab,,,,
Asymptomatic COVID-19,,,,
Infusion site haematoma,,,,
West Nile viral infection,,,,
Injection site ulcer,,,,
Adenovirus infection,,,,
Left ventricular dilatation,,,,
Cryptosporidiosis infection,,,,
Rheumatoid vasculitis,,,,
Cafe au lait spots,,,,
Exercise tolerance decreased,,,,
Leishmaniasis,,,,
Vulval cellulitis,,,,
Non-small cell lung cancer,,,,
Stenotrophomonas infection,,,,
Aortic thrombosis,,,,
Gastritis haemorrhagic,,,,
Adrenocorticotropic hormone deficiency,,,,
Antidepressant drug level above therapeutic,,,,
Onychophagia,,,,
Chronic hepatitis C,,,,
Viral titre decreased,,,,
BRAF gene mutation,,,,
Electrocardiogram ST-T change,,,,
Intercepted product dispensing error,,,,
Productive cough,cough,,,
Status asthmaticus,,,,
Gastroenteritis salmonella,,,,
Tonsillolith,,,,
Epidural fibrosis,,,,
Hypophagia,,,,
Respiratory fume inhalation disorder,,,,
Intraneural cyst,,,,
Product prescribing issue,,,,
Central nervous system infection,,,,
Left ventricular hypertrophy,,,,
Long QT syndrome,,,,
Acute biphenotypic leukaemia,,,,
Clear cell endometrial carcinoma,,,,
Tongue cancer metastatic,,,,
Central nervous system injury,,,,
Lupus-like syndrome,,,,
Blood albumin increased,,,,
Ankle arthroplasty,,,,
Anastomotic ulcer haemorrhage,,,,
Gastroenteritis rotavirus,,,,
Hepatic ischaemia,,,,
Sweat gland disorder,sweating,,,
Febrile bone marrow aplasia,,,,
Cervicogenic vertigo,spinning_movements,unsteadiness,loss_of_balance,
Allergy to arthropod sting,,,,
Intestinal adenocarcinoma,,,,
Dry mouth,,,,
Immune thrombocytopenia,,,,
Electrocardiogram ST segment depression,,,,
Gastric cancer,,,,
Vocal cord disorder,,,,
Pulmonary necrosis,,,,
Malignant neoplasm of eyelid,,,,
Renal injury,,,,
Mesenteric venous occlusion,,,,
Morganella infection,,,,
Drug specific antibody,,,,
Nodular regenerative hyperplasia,,,,
Miosis,,,,
Autoimmune arthritis,,,,
Infiltration anaesthesia,,,,
Precancerous skin lesion,,,,
Hepatic dysplasia,,,,
Pubertal failure,,,,
JC virus CSF test positive,,,,
Obesity,obesity,,,
Vascular access site infection,,,,
CD8 lymphocytes decreased,,,,
Endoscopy small intestine,,,,
Type V hyperlipidaemia,,,,
Reticulocyte count abnormal,,,,
Pulmonary arterial wedge pressure increased,,,,
Exposure to violent event,,,,
Frontal lobe epilepsy,,,,
Pregnancy on oral contraceptive,,shivering,,
Chills,chills,shivering,,
Cataract operation,,,,
Skin toxicity,,,,
Medical device pain,,,,
Normal newborn,,,,
Head banging,,,,
Theft,,,,
Manufacturing facilities issue,,,,
Vitamin E increased,,,,
Blood urea abnormal,,,,
Portal vein thrombosis,,,,
Glycosuria,,,,
Retinal vein occlusion,,,,
Obsessive rumination,,,,
Multimorbidity,,,,
Ejection fraction abnormal,,,,
Drain removal,,,,
Polyneuropathy idiopathic progressive,,,,
Lung squamous cell carcinoma metastatic,,,,
Joint contracture,,,,
Urethral perforation,,,,
Vulvovaginal swelling,,,,
Urine sodium decreased,,,,
Malignant splenic neoplasm,,,,
Foreign body in ear,,,,
Prostatic specific antigen decreased,,,,
Menstruation delayed,abnormal_menstruation,,,
Double stranded DNA antibody positive,,,,
Cough,phlegm,cough,,
Lung hyperinflation,,,,
Chest X-ray abnormal,,,,
Ectopic ACTH syndrome,,,,
Anti-ganglioside antibody positive,,,,
Metastatic renal cell carcinoma,,,,
Paresis cranial nerve,,,,
Ileus,,,,
Paraesthesia ear,,,,
Combined immunodeficiency,,,,
Application site acne,,,,
Familial periodic paralysis,,,,
Meningoencephalitis herpetic,,,,
Blood bicarbonate decreased,,,,
Virologic failure,,,,
Human anaplasmosis,,,,
Pruritus allergic,,,,
Blood blister,blister,,,
Osmolar gap,,,,
Cervix carcinoma,,,,
Gastrointestinal angiectasia,,,,
Euthanasia,,,,
Vaccination complication,,,,
Oestrogen deficiency,,,,
Refractory anaemia with an excess of blasts,,,,
Penis disorder,,,,
Corticobasal degeneration,,,,
Vein rupture,,,,
Thrombotic thrombocytopenic purpura,,,,
Munchausen's syndrome,,,,
Pierre Robin syndrome,,,,
Complications of transplanted kidney,,,,
Chromophobe renal cell carcinoma,,,,
Anorexia nervosa,,,,
Hypophosphataemia,,,,
C-reactive protein increased,,,,
Erythromelalgia,,,,
Scoliosis,,,,
Gastric varices haemorrhage,,,,
Coronary ostial stenosis,,,,
Thermophobia,,,,
Hyperammonaemic encephalopathy,,,,
Uraemic encephalopathy,,,,
Vascular injury,,,,
Back disorder,back_pain,,,
Idiopathic pneumonia syndrome,,,,
Vitamin D increased,,,,
Nipple pain,,,,
Menopausal symptoms,,,,
Abdominal wall anomaly,,,,
Haemolytic uraemic syndrome,,,,
Cytomegalovirus duodenitis,,,,
Procrastination,,,,
Cerebral venous sinus thrombosis,,,,
Congenital myopathy,,,,
Gastroenteritis cryptosporidial,,,,
Bronchitis,,,,
Weight loss poor,,,,
Prostatic haemorrhage,,,,
Heliotrope rash,,,,
Lung opacity,,,,
Catheterisation cardiac,,,,
Adrenal insufficiency,,,,
Albumin urine present,,,,
Sigmoidectomy,,,,
Sexually inappropriate behaviour,,,,
Bone swelling,,,,
Lactobacillus infection,,,,
Ascites,,,,
Androgenetic alopecia,,,,
Calculus bladder,,,,
Brain stem infarction,,,,
Tympanic membrane hyperaemia,,,,
Dermatophytosis of nail,,,,
Clostridium difficile colitis,,,,
ECG signs of myocardial ischaemia,,,,
Superior vena cava perforation,,,,
Administration site haemorrhage,,,,
Arterial ligation,,,,
Bowel movement irregularity,pain_during_bowel_movements,,,
Cor pulmonale acute,,,,
Blood glucose abnormal,,,,
Heart rate decreased,,,,
Impatience,,,,
Necrotising oesophagitis,,,,
Body height decreased,,,,
Salivary duct obstruction,,,,
Transferrin saturation decreased,,,,
Orthognathic surgery,,,,
Benign neoplasm of spinal cord,,,,
Positron emission tomogram abnormal,,,,
Blood luteinising hormone decreased,,,,
Skin necrosis,,,,
Sopor,,,,
Acquired cystic kidney disease,,,,
Gastric ulcer surgery,,,,
Infusion site irritation,,,,
Peripheral motor neuropathy,,,,
Achenbach syndrome,,,,
Central vision loss,,,,
Jejunectomy,,,,
Behaviour disorder,,,,
Near death experience,,,,
Cervix cancer metastatic,,,,
Iron binding capacity total increased,,,,
Retrograde ejaculation,,,,
Abdominal symptom,,,,
T-cell type acute leukaemia,,,,
Urine calcium/creatinine ratio increased,,,,
Pulmonary calcification,,,,
Polyarteritis nodosa,,,,
Haptoglobin decreased,,,,
Drug specific antibody absent,,,,
Flour sensitivity,,,,
Pulse absent,,,,
Urinary retention postoperative,,,,
Trigonitis,,,,
Scan abnormal,,,,
Blood bilirubin decreased,,,,
Light chain analysis abnormal,,,,
Drug level decreased,,,,
Cerebrovascular stenosis,,,,
Tracheo-oesophageal fistula,,,,
Peritonitis,,,,
Transferrin saturation abnormal,,,,
Xanthopsia,,,,
Cardiothoracic ratio increased,,,,
Glossodynia,,,,
Medical device discomfort,,,,
